date,manual_bikes,e_bikes,gross_value_added
2013-01-10,993234,14744,96447862
2015-01-04,978284,11049,126809350
2010-01-01,596461,,112910065
2016-01-07,745763,39169,61237204
2014-01-01,688177,7284,111250168
2016-01-01,529218,42364,120985418
2011-01-10,985975,,107130798
2016-01-10,719043,30230,89563770
2014-01-10,1095899,26705,102639760
2010-01-10,1154239,,116660659
2014-01-07,959767,21006,79630767
2011-01-07,941338,,62064086
2013-01-07,961435,7501,68076514
2011-01-01,536364,,133175165
2012-01-01,600722,8647,108924691
2015-01-07,1045568,38207,71286961
2016-01-04,774019,21392,101664534
2012-01-04,862344,5014,114089756
2015-01-10,878595,117320,113199810
2012-01-10,986445,18784,99784088
2013-01-04,833512,6826,114144141
2010-01-07,1150913,,69018068
2015-01-01,616069,8421,111057159
2012-01-07,1055922,6871,69511120
2013-01-01,588324,3914,122183507
2010-01-04,1008193,,136366634
2011-01-04,925835,,133560025
2014-01-04,887023,10647,114929714
